<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131101,110000,4850.0000000,4868.0000000,4824.0000000,4849.0000000,82315
20131101,120000,4848.0000000,4868.0000000,4847.0000000,4860.0000000,25184
20131101,130000,4858.0000000,4905.0000000,4853.0000000,4895.0000000,92161
20131101,140000,4895.0000000,4900.0000000,4886.0000000,4894.0000000,28629
20131101,150000,4893.0000000,4915.0000000,4890.0000000,4912.0000000,42110
20131101,160000,4913.0000000,4920.0000000,4900.0000000,4901.0000000,36125
20131101,170000,4901.0000000,4919.0000000,4900.0000000,4914.0000000,27222
20131101,180000,4914.0000000,4919.0000000,4907.0000000,4913.0000000,14300
20131101,190000,4913.0000000,4931.0000000,4913.0000000,4920.0000000,30929
20131105,110000,4922.0000000,4938.0000000,4905.0000000,4930.0000000,31959
20131105,120000,4930.0000000,4937.0000000,4918.0000000,4925.0000000,21105
20131105,130000,4923.0000000,4928.0000000,4913.0000000,4927.0000000,16926
20131105,140000,4925.0000000,4932.0000000,4912.0000000,4920.0000000,48571
20131105,150000,4919.0000000,4928.0000000,4915.0000000,4923.0000000,15728
20131105,160000,4924.0000000,4928.0000000,4915.0000000,4915.0000000,19008
20131105,170000,4915.0000000,4919.0000000,4910.0000000,4918.0000000,12432
20131105,180000,4917.0000000,4921.0000000,4912.0000000,4917.0000000,12437
20131105,190000,4917.0000000,4920.0000000,4890.0000000,4911.0000000,41792
20131106,110000,4917.0000000,4919.0000000,4859.0000000,4872.0000000,35545
20131106,120000,4872.0000000,4890.0000000,4865.0000000,4885.0000000,40710
20131106,130000,4885.0000000,4898.0000000,4876.0000000,4886.0000000,54194
20131106,140000,4886.0000000,4892.0000000,4875.0000000,4885.0000000,20453
20131106,150000,4886.0000000,4888.0000000,4870.0000000,4879.0000000,31458
20131106,160000,4877.0000000,4885.0000000,4865.0000000,4872.0000000,14157
20131106,170000,4872.0000000,4880.0000000,4871.0000000,4878.0000000,12591
20131106,180000,4880.0000000,4886.0000000,4865.0000000,4873.0000000,29703
20131106,190000,4873.0000000,4875.0000000,4859.0000000,4867.0000000,24254
20131107,110000,4870.0000000,4876.0000000,4844.0000000,4847.0000000,23396
20131107,120000,4849.0000000,4857.0000000,4840.0000000,4855.0000000,12616
20131107,130000,4856.0000000,4872.0000000,4851.0000000,4868.0000000,20795
20131107,140000,4869.0000000,4873.0000000,4851.0000000,4855.0000000,13728
20131107,150000,4856.0000000,4858.0000000,4850.0000000,4856.0000000,6871
20131107,160000,4856.0000000,4857.0000000,4845.0000000,4853.0000000,9965
20131107,170000,4852.0000000,4900.0000000,4849.0000000,4885.0000000,57019
20131107,180000,4885.0000000,4894.0000000,4866.0000000,4873.0000000,56594
20131107,190000,4873.0000000,4881.0000000,4868.0000000,4874.0000000,19383
20131108,110000,4865.0000000,4868.0000000,4811.0000000,4836.0000000,85077
20131108,120000,4835.0000000,4841.0000000,4828.0000000,4835.0000000,11275
20131108,130000,4835.0000000,4837.0000000,4813.0000000,4826.0000000,26676
20131108,140000,4826.0000000,4830.0000000,4821.0000000,4826.0000000,7154
20131108,150000,4824.0000000,4832.0000000,4823.0000000,4830.0000000,7637
20131108,160000,4829.0000000,4857.0000000,4829.0000000,4852.0000000,48286
20131108,170000,4851.0000000,4866.0000000,4848.0000000,4857.0000000,22052
20131108,180000,4857.0000000,4857.0000000,4813.0000000,4830.0000000,56526
20131108,190000,4829.0000000,4845.0000000,4815.0000000,4845.0000000,52973
20131111,110000,4855.0000000,4877.0000000,4849.0000000,4858.0000000,75706
20131111,120000,4859.0000000,4871.0000000,4856.0000000,4863.0000000,17291
20131111,130000,4863.0000000,4882.0000000,4852.0000000,4879.0000000,31946
20131111,140000,4879.0000000,4900.0000000,4874.0000000,4899.0000000,51020
20131111,150000,4899.0000000,4900.0000000,4881.0000000,4886.0000000,28653
20131111,160000,4886.0000000,4897.0000000,4886.0000000,4892.0000000,16588
20131111,170000,4893.0000000,4895.0000000,4883.0000000,4894.0000000,16327
20131111,180000,4893.0000000,4895.0000000,4871.0000000,4890.0000000,31282
20131111,190000,4890.0000000,4893.0000000,4875.0000000,4882.0000000,23572
20131112,110000,4893.0000000,4906.0000000,4867.0000000,4903.0000000,85874
20131112,120000,4903.0000000,4905.0000000,4890.0000000,4904.0000000,14223
20131112,130000,4904.0000000,4925.0000000,4897.0000000,4919.0000000,37344
20131112,140000,4917.0000000,4936.0000000,4915.0000000,4932.0000000,32191
20131112,150000,4934.0000000,4935.0000000,4897.0000000,4912.0000000,41931
