<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131101,110000,8647.0000000,8710.0000000,8647.0000000,8690.0000000,3719
20131101,120000,8687.6000000,8695.0000000,8668.5000000,8674.5000000,4447
20131101,130000,8674.4000000,8695.0000000,8652.1000000,8683.3000000,9887
20131101,140000,8686.1000000,8690.0000000,8667.7000000,8690.0000000,2103
20131101,150000,8688.0000000,8750.0000000,8685.1000000,8746.0000000,20180
20131101,160000,8746.0000000,8765.0000000,8710.1000000,8740.0000000,11103
20131101,170000,8740.0000000,8745.0000000,8695.9000000,8710.0000000,6230
20131101,180000,8710.0000000,8740.0000000,8705.0000000,8738.0000000,5429
20131101,190000,8739.5000000,8750.0000000,8720.7000000,8740.0000000,9632
20131105,110000,8781.0000000,8781.0000000,8735.2000000,8751.2000000,3178
20131105,120000,8753.1000000,8753.1000000,8650.6000000,8707.0000000,8010
20131105,130000,8708.0000000,8709.9000000,8619.8000000,8686.2000000,18264
20131105,140000,8683.7000000,8730.0000000,8681.3000000,8730.0000000,6756
20131105,150000,8729.0000000,8730.0000000,8697.9000000,8705.9000000,3038
20131105,160000,8706.2000000,8723.6000000,8691.0000000,8698.6000000,6237
20131105,170000,8700.7000000,8716.9000000,8670.0000000,8707.0000000,11562
20131105,180000,8707.0000000,8715.0000000,8680.7000000,8702.7000000,10020
20131105,190000,8708.4000000,8716.6000000,8695.9000000,8715.0000000,8561
20131106,110000,8679.8000000,8703.3000000,8651.6000000,8680.0000000,2923
20131106,120000,8679.9000000,8690.9000000,8662.0000000,8672.9000000,2518
20131106,130000,8672.9000000,8697.5000000,8660.0000000,8676.9000000,12609
20131106,140000,8675.0000000,8739.4000000,8675.0000000,8721.4000000,15797
20131106,150000,8713.4000000,8733.5000000,8706.4000000,8709.4000000,16006
20131106,160000,8706.3000000,8723.0000000,8693.9000000,8712.3000000,8714
20131106,170000,8714.0000000,8728.0000000,8706.6000000,8720.0000000,10674
20131106,180000,8719.2000000,8720.0000000,8670.0000000,8670.0000000,6967
20131106,190000,8670.0000000,8688.1000000,8654.1000000,8678.9000000,10418
20131107,110000,8688.0000000,8689.5000000,8660.4000000,8685.0000000,1702
20131107,120000,8685.0000000,8720.0000000,8680.2000000,8710.5000000,10347
20131107,130000,8710.5000000,8719.1000000,8682.2000000,8697.5000000,4081
20131107,140000,8697.8000000,8708.1000000,8675.9000000,8703.8000000,3210
20131107,150000,8704.8000000,8711.1000000,8698.0000000,8705.8000000,3461
20131107,160000,8705.6000000,8705.6000000,8689.1000000,8690.1000000,2936
20131107,170000,8694.4000000,8740.0000000,8665.2000000,8734.4000000,19186
20131107,180000,8738.6000000,8787.6000000,8717.5000000,8753.1000000,11460
20131107,190000,8753.1000000,8778.8000000,8751.5000000,8752.0000000,8238
20131108,110000,8701.3000000,8704.0000000,8600.0000000,8644.0000000,12822
20131108,120000,8644.0000000,8715.0000000,8637.8000000,8676.3000000,7703
20131108,130000,8673.8000000,8733.0000000,8660.0000000,8695.0000000,18430
20131108,140000,8696.9000000,8704.6000000,8660.7000000,8665.7000000,3285
20131108,150000,8660.7000000,8683.5000000,8650.0000000,8651.1000000,4094
20131108,160000,8650.1000000,8694.5000000,8650.0000000,8682.4000000,5840
20131108,170000,8682.4000000,8682.4000000,8633.7000000,8637.5000000,4653
20131108,180000,8637.5000000,8656.9000000,8610.0000000,8634.3000000,10835
20131108,190000,8634.3000000,8634.3000000,8601.2000000,8602.7000000,9225
20131111,110000,8609.9000000,8662.0000000,8602.6000000,8619.9000000,6767
20131111,120000,8610.4000000,8639.2000000,8610.0000000,8615.5000000,1646
20131111,130000,8621.2000000,8650.0000000,8550.0000000,8575.1000000,11625
20131111,140000,8579.0000000,8596.0000000,8570.0000000,8587.8000000,4074
20131111,150000,8587.8000000,8672.1000000,8586.1000000,8657.8000000,7663
20131111,160000,8657.8000000,8671.0000000,8642.0000000,8667.4000000,3073
20131111,170000,8667.4000000,8667.4000000,8631.5000000,8637.0000000,4118
20131111,180000,8637.0000000,8659.0000000,8615.1000000,8621.7000000,3396
20131111,190000,8622.8000000,8652.1000000,8613.4000000,8644.3000000,4687
20131112,110000,8650.4000000,8674.9000000,8621.2000000,8656.0000000,2936
20131112,120000,8656.7000000,8659.5000000,8636.4000000,8657.2000000,2202
20131112,130000,8658.9000000,8699.0000000,8637.0000000,8644.6000000,8157
20131112,140000,8645.0000000,8684.6000000,8625.4000000,8684.6000000,5096
20131112,150000,8684.6000000,8824.4000000,8663.3000000,8779.4000000,18902
20131112,160000,8772.3000000,8788.9000000,8740.0000000,8765.0000000,5900
20131112,170000,8765.0000000,8768.7000000,8728.2000000,8752.5000000,2442
20131112,180000,8753.5000000,8760.0000000,8740.2000000,8745.1000000,3258
20131112,190000,8744.8000000,8789.7000000,8702.0000000,8770.0000000,8748
20131113,110000,8725.0000000,8742.9000000,8634.0000000,8672.7000000,11839
20131113,120000,8671.1000000,8679.5000000,8650.0000000,8671.7000000,3949
20131113,130000,8673.2000000,8715.8000000,8660.4000000,8677.8000000,7955
20131113,140000,8677.5000000,8721.8000000,8671.9000000,8705.0000000,6465
20131113,150000,8712.5000000,8720.0000000,8690.0000000,8703.6000000,9721
20131113,160000,8701.1000000,8719.2000000,8660.1000000,8660.2000000,18230
20131113,170000,8660.2000000,8667.3000000,8632.0000000,8647.4000000,9693
20131113,180000,8647.7000000,8665.8000000,8625.2000000,8625.2000000,11440
20131113,190000,8625.2000000,8644.2000000,8500.2000000,8510.0000000,19639
20131114,110000,8594.9000000,8628.9000000,8424.0000000,8591.9000000,14238
20131114,120000,8595.4000000,8661.2000000,8577.8000000,8633.0000000,11535
20131114,130000,8633.0000000,8647.1000000,8594.6000000,8620.1000000,5581
20131114,140000,8623.3000000,8696.6000000,8620.0000000,8656.5000000,16306
20131114,150000,8656.8000000,8702.9000000,8651.7000000,8688.5000000,9567
20131114,160000,8685.9000000,8718.0000000,8670.5000000,8710.0000000,9966
20131114,170000,8703.5000000,8719.9000000,8686.2000000,8705.7000000,6416
20131114,180000,8708.5000000,8708.6000000,8678.5000000,8703.8000000,5180
20131114,190000,8705.8000000,8717.0000000,8678.1000000,8704.2000000,5681
20131115,110000,8743.3000000,8799.1000000,8730.8000000,8793.7000000,6351
20131115,120000,8793.7000000,8800.0000000,8715.6000000,8723.1000000,10065
20131115,130000,8721.7000000,8744.6000000,8706.1000000,8714.3000000,4508
20131115,140000,8714.4000000,8727.9000000,8663.3000000,8663.3000000,4871
20131115,150000,8670.6000000,8734.9000000,8660.2000000,8719.1000000,4159
20131115,160000,8717.7000000,8717.7000000,8660.3000000,8667.1000000,1778
20131115,170000,8667.1000000,8685.0000000,8666.5000000,8685.0000000,1865
20131115,180000,8694.5000000,8719.1000000,8650.0000000,8715.6000000,6184
20131115,190000,8711.9000000,8733.0000000,8685.2000000,8724.9000000,7218
20131118,110000,8704.7000000,8750.0000000,8704.7000000,8740.0000000,3390
20131118,120000,8740.0000000,8740.0000000,8710.3000000,8710.3000000,1291
20131118,130000,8710.3000000,8730.6000000,8675.5000000,8699.7000000,5012
20131118,140000,8697.8000000,8738.7000000,8697.8000000,8703.4000000,3720
20131118,150000,8700.8000000,8731.2000000,8699.5000000,8700.0000000,4752
20131118,160000,8700.0000000,8717.1000000,8689.1000000,8705.6000000,9866
